key,doctype,approx_size,cosmos_name,cosmos_elapsed,cosmos_size,redis_name,redis_elapsed,redis_size
27553,zipcode,205,27553,0.007105827331542969,565,27553,0.0020301342010498047,205
27555,zipcode,202,27555,0.007004499435424805,562,27555,0.002159595489501953,202
27556,zipcode,201,27556,0.006952047348022461,561,27556,0.0017840862274169922,201
27557,zipcode,208,27557,0.006620168685913086,568,27557,0.0021266937255859375,208
27559,zipcode,206,27559,0.00657963752746582,566,27559,0.001972675323486328,206
27560,zipcode,210,27560,0.007173776626586914,570,27560,0.001705169677734375,210
27562,zipcode,207,27562,0.010923385620117188,567,27562,0.001756906509399414,207
27563,zipcode,204,27563,0.00686335563659668,564,27563,0.0017383098602294922,204
27565,zipcode,205,27565,0.006932973861694336,565,27565,0.0016031265258789062,205
27568,zipcode,209,27568,0.006708621978759766,569,27568,0.001878499984741211,209
27569,zipcode,206,27569,0.008003711700439453,566,27569,0.001538991928100586,206
27570,zipcode,207,27570,0.006759166717529297,567,27570,0.001913309097290039,207
27571,zipcode,207,27571,0.007071495056152344,567,27571,0.0017216205596923828,207
27572,zipcode,208,27572,0.006548881530761719,568,27572,0.001976490020751953,208
27573,zipcode,206,27573,0.00713348388671875,566,27573,0.0020253658294677734,206
27574,zipcode,206,27574,0.006921052932739258,566,27574,0.001678466796875,206
27576,zipcode,202,27576,0.00789022445678711,562,27576,0.001569509506225586,202
27577,zipcode,209,27577,0.009347677230834961,569,27577,0.0017285346984863281,209
27581,zipcode,203,27581,0.007011890411376953,563,27581,0.0017695426940917969,203
27582,zipcode,206,27582,0.007230997085571289,566,27582,0.0017621517181396484,206
27583,zipcode,209,27583,0.006659746170043945,569,27583,0.00193023681640625,209
27584,zipcode,207,27584,0.006700754165649414,567,27584,0.0026197433471679688,207
27586,zipcode,198,27586,0.0066716670989990234,558,27586,0.0018463134765625,198
27587,zipcode,210,27587,0.00696110725402832,570,27587,0.0021245479583740234,210
27588,zipcode,202,27588,0.006989955902099609,562,27588,0.0023751258850097656,202
27589,zipcode,208,27589,0.006697177886962891,568,27589,0.0017497539520263672,208
27591,zipcode,206,27591,0.007097959518432617,566,27591,0.001934051513671875,206
27592,zipcode,210,27592,0.006828784942626953,570,27592,0.001993894577026367,210
27593,zipcode,204,27593,0.0066375732421875,564,27593,0.0017817020416259766,204
27594,zipcode,195,27594,0.006592750549316406,555,27594,0.0017383098602294922,195
27596,zipcode,210,27596,0.00714874267578125,570,27596,0.001771688461303711,210
27597,zipcode,206,27597,0.007431745529174805,566,27597,0.0020046234130859375,206
27599,zipcode,202,27599,0.006803274154663086,562,27599,0.0018169879913330078,202
